TIMESTAMP;Evento
2004-08-05 00:00:00;Troca do Reator
2007-11-17 00:00:00;Troca do Reator
2009-03-21 00:00:00;Troca do Reator
2011-10-08 00:00:00;Troca do Reator
2012-08-11 00:00:00;Troca do Reator
2016-07-18 00:00:00;Troca do Reator (Falha no bocal do radar DN12)
2018-03-15 00:00:00;Substituição do agitador por furo
2018-12-08 00:00:00;Troca do Reator (Falha no bocal de alimentação - vindo do hidro)
2023-01-13 00:00:00;Furo no eixo do agitador
2023-01-17 00:00:00;Troca do Reator
2025-06-13 00:00:00;Vazamento por dano do vitrificado (Instalada luva de vidro)
